xv,T = 2,T = 4,T = 6,T = 8,T = 10,T = 12,T = 14,T = 16,T = 18,T = 20,T = 22,T = 24,T = 26,T = 28,T = 30,T = 32,T = 34,T = 36,T = 38,T = 40,T = 42,T = 44,T = 46,T = 48,T = 50,T = 52,T = 54,T = 56,T = 58,T = 60,T = 62,T = 64,T = 66,T = 68,T = 70,T = 72,T = 74,T = 76,T = 78,T = 80,T = 82,T = 84,T = 86,T = 88,T = 90,T = 92,T = 94,T = 96,T = 98,T = 100,T = 102,T = 104,T = 106,T = 108,T = 110,T = 112,T = 114,T = 116,T = 118,T = 120
Wavelength(nm),counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
550.07,970,972,973,971,971,970,969,971,971,971,973,973,971,969,970,971,971,970,969,970,971,971,971,972,970,972,970,972,972,969,968,969,968,971,969,973,969,967,970,970,971,971,971,971,974,970,968,971,969,970,972,973,970,992,988,991,988,995,986,992
550.34,970,973,971,970,969,969,972,969,973,969,971,971,973,971,970,969,969,971,969,973,971,972,973,968,970,971,970,974,969,969,971,969,972,971,971,971,972,970,972,972,973,971,970,972,969,969,970,968,970,972,969,970,973,989,990,989,992,995,985,990
550.6,972,972,970,969,973,969,975,971,973,972,970,972,971,970,972,974,972,971,968,968,968,970,973,970,973,973,973,969,971,971,969,972,971,971,973,970,970,970,971,970,970,972,970,971,971,971,970,972,970,969,971,970,973,992,986,994,994,985,990,988
550.86,970,971,971,970,972,970,971,973,971,973,972,969,972,970,967,969,970,972,969,972,973,970,970,969,967,971,971,972,972,970,967,968,971,972,968,971,968,973,972,973,973,969,971,972,972,969,971,969,971,970,970,972,970,986,988,987,993,993,985,988
551.13,972,970,972,968,967,971,971,972,970,969,969,970,970,970,970,972,971,970,968,971,967,974,973,970,971,973,973,973,970,969,970,972,971,972,969,970,971,970,971,972,972,969,973,971,971,970,970,972,970,970,972,969,973,991,986,990,989,989,989,989
551.39,974,973,971,970,970,971,970,970,973,972,971,970,971,970,969,969,968,974,970,973,970,969,971,971,969,970,969,971,973,968,968,970,970,971,969,971,969,972,970,971,973,970,971,969,973,971,969,970,971,972,972,972,968,989,982,988,989,987,985,991
551.65,970,970,973,970,970,973,974,970,970,971,971,970,970,973,968,973,971,971,970,970,971,973,976,968,973,970,972,972,970,970,972,969,971,969,972,968,971,971,971,974,971,971,969,974,970,970,968,970,972,974,971,969,971,988,988,987,987,991,987,988
551.92,971,972,973,969,972,971,970,971,971,971,970,971,972,971,970,968,969,971,969,971,969,970,971,969,971,970,972,970,972,968,968,971,971,972,969,971,972,968,972,973,972,969,971,971,972,971,971,971,969,969,970,972,971,987,991,990,990,989,988,988
552.18,969,972,971,968,973,969,971,972,971,971,971,970,971,970,969,971,972,970,968,971,972,973,971,968,970,971,972,972,971,970,970,969,970,971,971,969,973,970,972,971,972,970,971,972,969,970,971,968,969,972,972,970,972,986,987,988,987,987,985,992
